id;medicine_name;medicine_description;natural_medicine
51;Naproxen;Naproxen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body.;null
52;Omeprazole;Omeprazole is used to treat symptoms of gastroesophageal reflux disease (GERD) and other conditions caused by excess stomach acid. It is also used to promote healing of erosive esophagitis (damage to your esophagus caused by stomach acid).;null
53;Onpattro;Onpattro is a prescription medicine used to treat polyneuropathy (damage of multiple nerves throughout the body) in adults with hereditary transthyretin-mediated amyloidosis (hATTR).;null
54;Otezla;Otezla is used to treat active psoriatic arthritis in adults.;null
55;Ozempic;Ozempic (semaglutide) is similar to a hormone that occurs naturally in the body and helps control blood sugar, insulin levels, and digestion.;null
56;Pantoprazole;Pantoprazole is used to treat erosive esophagitis (damage to the esophagus from stomach acid caused by gastroesophageal reflux disease, or GERD) in adults and children who are at least 5 years old.;null
57;Prednisone;Prednisone is a corticosteroid. It prevents the release of substances in the body that cause inflammation. It also suppresses the immune system.;null
58;Probuphine;Probuphine implants are used to treat narcotic addiction in certain people whose addiction has already been treated and controlled with other forms of buprenorphine. Probuphine implants are for adults and teenagers who are at least 16 years old.;null
59;Rybelsus;Rybelsus (semaglutide) is used with diet and exercise to improve blood sugar control in adults with type 2 diabetes mellitus. ;null
60;Sublocade;Sublocade injection is used to treat opioid addiction. It is not for use as a pain medication.;null
61;Tramadol;Tramadol is used to treat moderate to severe pain in adults.;null
62;Trazodone;Trazodone is used to treat major depressive disorder.;null
63;Viagra;Viagra (sildenafil) relaxes muscles found in the walls of blood vessels and increases blood flow to particular areas of the body.;null
64;Wellbutrin;Wellbutrin (bupropion) is an antidepressant medication used to treat major depressive disorder and seasonal affective disorder.;null
65;Xanax;Xanax (alprazolam) is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It is thought that alprazolam works by enhancing the activity of certain neurotransmitters in the brain.;null
66;Zubsolv;Zubsolv is used to treat opioid addiction.;null
